contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,type,expiry,underlying,spot
AAPL260828P00320000,2026-07-31 19:58:45+00:00,320.0,14.74,13.65,16.6,9.03,158.1436,979.0,2617,0.29621065124511714,True,REGULAR,USD,put,2026-08-28,AAPL,308.9100036621094
AAPL260828P00325000,2026-07-31 19:58:52+00:00,325.0,17.7,17.55,19.95,10.450001,144.13794,292.0,780,0.28784891845703114,True,REGULAR,USD,put,2026-08-28,AAPL,308.9100036621094
AAPL260828P00330000,2026-07-31 19:39:49+00:00,330.0,26.07,21.55,24.05,16.82,181.83783,447.0,769,0.29529513305664057,True,REGULAR,USD,put,2026-08-28,AAPL,308.9100036621094
AAPL260828P00335000,2026-07-31 19:23:27+00:00,335.0,30.69,25.8,28.5,19.04,163.43349,410.0,679,0.30927204406738285,True,REGULAR,USD,put,2026-08-28,AAPL,308.9100036621094
AAPL260828P00340000,2026-07-31 19:11:30+00:00,340.0,36.06,30.35,33.0,21.5,147.66483,174.0,588,0.319220675048828,True,REGULAR,USD,put,2026-08-28,AAPL,308.9100036621094
AAPL260828P00345000,2026-07-31 13:38:23+00:00,345.0,44.0,35.1,37.9,25.89,142.95967,10.0,64,0.3458317370605468,True,REGULAR,USD,put,2026-08-28,AAPL,308.9100036621094
AAPL260828P00350000,2026-07-31 13:58:05+00:00,350.0,42.5,39.95,42.9,21.85,105.81114,40.0,82,0.3764710791015625,True,REGULAR,USD,put,2026-08-28,AAPL,308.9100036621094
AAPL260828P00355000,2026-07-31 13:41:11+00:00,355.0,53.7,44.65,47.4,28.300001,111.41733,1.0,16,0.37305314453125,True,REGULAR,USD,put,2026-08-28,AAPL,308.9100036621094
AAPL260828P00360000,2026-07-30 13:37:46+00:00,360.0,29.1,49.35,52.95,0.0,0.0,1.0,4,0.43774976318359377,True,REGULAR,USD,put,2026-08-28,AAPL,308.9100036621094
AAPL260828P00395000,2026-07-22 15:05:27+00:00,395.0,70.35,84.25,88.0,0.0,0.0,1.0,0,0.6214637463378907,True,REGULAR,USD,put,2026-08-28,AAPL,308.9100036621094
AAPL260828P00400000,2026-07-30 14:03:39+00:00,400.0,69.0,89.25,92.95,0.0,0.0,1.0,0,0.6408727319335938,True,REGULAR,USD,put,2026-08-28,AAPL,308.9100036621094
